arm,model_name,questions,answered,reliability,mean_entity_f1,mean_entity_precision,mean_entity_recall,count_questions_scored,count_accuracy_rate,mean_abs_count_error,field_value_accuracy,format_core_ok_rate,true_hallucination_answer_rate,avg_true_hallucinations,misspelled_kb_company_answer_rate,avg_misspelled_kb_company,kb_supported_non_company_false_positive_rate,avg_kb_supported_non_company_fp,row_id_company_mismatch_rate,avg_row_id_company_mismatch,total_row_id_company_checked,total_row_id_company_mismatch,legacy_answers_with_unknown_company_mentions_rate,inline_thinking_leak_count,avg_runtime_seconds,total_runtime_seconds,prompt_eval_min,prompt_eval_median,prompt_eval_max,research_score_deterministic,research_score_deterministic_legacy,rank_by_research_score
direct_context,kb_web,42,42,1.0,0.1037,0.1037,0.1037,5,0.4,159.2,0.2954,0.0,0.0952,0.1905,0.0,0.0,0.0476,0.0476,0.0,0.0,0,0,0.1667,0,19.5127,819.532,,,,0.3114,0.3043,1
direct_context,base,42,42,1.0,0.0732,0.0732,0.0732,5,0.0,9.0,0.3219,0.0,0.2143,0.381,0.0476,0.0952,0.0238,0.0238,0.0,0.0,0,0,0.3571,3,11.9672,502.623,,,,0.2098,0.1955,2
direct_context,kb_only,42,41,0.9762,0.0507,0.061,0.0498,7,0.0,112.1429,0.2879,0.0,0.119,0.119,0.0238,0.0238,0.0714,0.0714,0.0,0.0,0,0,0.1905,1,18.5275,778.153,,,,0.2029,0.1958,3
